rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,rent_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,gross_emolument,tax,pension,nhis,nhf,total_deduction,net_pay
16,3,1,552883,492050,60833,41004.16667,5069.416667,2460.25,50584.04333,1239.02,3455.52,2050.208333,1025.104167,7769.8525,42814.19083
16,3,2,560423,497742,62681,41478.5,5223.416667,2488.71,51264.55667,1271.66,3502.64,2073.925,1036.9625,7885.1875,43379.36917
16,3,3,567964,503435,64529,41952.91667,5377.416667,2517.175,51945.15833,1304.3,3549.78,2097.645833,1048.822917,8000.54875,43944.60958
16,3,4,575505,509128,66377,42427.33333,5531.416667,2545.64,52625.76,1336.94,3596.91,2121.366667,1060.683333,8115.9,44509.86
16,3,5,583046,514820,68226,42901.66667,5685.5,2574.1,53306.34667,1369.58,3644.04,2145.083333,1072.541667,8231.245,45075.10167
16,3,6,590587,520513,70074,43376.08333,5839.5,2602.565,53986.94833,1402.22,3691.17,2168.804167,1084.402083,8346.59625,45640.35208
16,3,7,598128,526206,71922,43850.5,5993.5,2631.03,54667.56,1434.86,3738.3,2192.525,1096.2625,8461.9475,46205.6125
16,3,8,605669,531899,73770,44324.91667,6147.5,2659.495,55348.16167,1467.5,3785.43,2216.245833,1108.122917,8577.29875,46770.86292
16,3,9,613210,537591,75619,44799.25,6301.583333,2687.955,56028.74833,1500.13,3832.56,2239.9625,1119.98125,8692.63375,47336.11458
16,3,10,620751,543284,77467,45273.66667,6455.583333,2716.42,56709.35,1531.49,3879.69,2263.683333,1131.841667,8806.705,47902.645
15,4,1,571002,505728,65274,42144,5439.5,2528.64,52219.34,1316.64,3568.76,2107.2,1053.6,8046.2,44173.14
15,4,2,580062,512568,67494,42714,5624.5,2562.84,53037.04,1356.12,3625.39,2135.7,1067.85,8185.06,44851.98
15,4,3,589122,519407,69715,43283.91667,5809.583333,2597.035,53854.735,1395.6,3682.01,2164.195833,1082.097917,8323.90375,45530.83125
15,4,4,598181,526246,71935,43853.83333,5994.583333,2631.23,54672.33667,1435.08,3738.63,2192.691667,1096.345833,8462.7475,46209.58917
15,4,5,607240,533085,74155,44423.75,6179.583333,2665.425,55489.94833,1474.56,3795.25,2221.1875,1110.59375,8601.59125,46888.35708
15,4,6,616301,539925,76376,44993.75,6364.666667,2699.625,56307.73167,1513.78,3851.88,2249.6875,1124.84375,8740.19125,47567.54042
15,4,7,625360,546764,78596,45563.66667,6549.666667,2733.82,57125.33333,1552.98,3908.5,2278.183333,1139.091667,8878.755,48246.57833
15,4,8,634420,553603,80817,46133.58333,6734.75,2768.015,57943.02833,1592.19,3965.13,2306.679167,1153.339583,9017.33875,48925.68958
15,4,9,643480,560443,83037,46703.58333,6919.75,2802.215,58760.72833,1631.4,4021.75,2335.179167,1167.589583,9155.91875,49604.80958
15,4,10,652540,567282,85258,47273.5,7104.833333,2836.41,59578.42333,1670.62,4078.38,2363.675,1181.8375,9294.5125,50283.91083
14,5,1,619752,542530,77222,45210.83333,6435.166667,2712.65,56619.19,1391.63,3873.45,2260.541667,1130.270833,8655.8925,47963.2975
14,5,2,630278,550476,79802,45873,6650.166667,2752.38,57569.19667,1465.28,3939.24,2293.65,1146.825,8844.995,48724.20167
14,5,3,640804,558422,82382,46535.16667,6865.166667,2792.11,58519.20333,1538.93,4005.03,2326.758333,1163.379167,9034.0975,49485.10583
14,5,4,651329,566367,84962,47197.25,7080.166667,2831.835,59469.11167,1612.58,4070.81,2359.8625,1179.93125,9223.18375,50245.92792
14,5,5,661854,574313,87541,47859.41667,7295.083333,2871.565,60419.035,1686.23,4136.59,2392.970833,1196.485417,9412.27625,51006.75875
14,5,6,672380,582259,90121,48521.58333,7510.083333,2911.295,61369.04167,1759.88,4202.38,2426.079167,1213.039583,9601.37875,51767.66292
14,5,7,682905,590204,92701,49183.66667,7725.083333,2951.02,62318.95,1833.53,4268.16,2459.183333,1229.591667,9790.465,52528.485
14,5,8,693431,598150,95281,49845.83333,7940.083333,2990.75,63268.95667,1905.1,4333.94,2492.291667,1246.145833,9977.4775,53291.47917
14,5,9,703955,606095,97860,50507.91667,8155,3030.475,64218.79167,1976.66,4399.72,2525.395833,1262.697917,10164.47375,54054.31792
14,5,10,714481,614041,100440,51170.08333,8370,3070.205,65168.78833,2048.23,4465.51,2558.504167,1279.252083,10351.49625,54817.29208
13,6,1,678427,586824,91603,48902,7633.583333,2934.12,61914.80333,1768.92,4240.17,2445.1,1222.55,9676.74,52238.06333
13,6,2,691256,596509,94747,49709.08333,7895.583333,2982.545,63072.66167,1867.82,4320.35,2485.454167,1242.727083,9916.35125,53156.31042
13,6,3,704086,606194,97892,50516.16667,8157.666667,3030.97,64230.61333,1966.72,4400.54,2525.808333,1262.904167,10155.9725,54074.64083
13,6,4,716915,615879,101036,51323.25,8419.666667,3079.395,65388.47167,2065.62,4480.72,2566.1625,1283.08125,10395.58375,54992.88792
13,6,5,729744,625563,104181,52130.25,8681.75,3127.815,66546.325,2152.84,4560.9,2606.5125,1303.25625,10623.50875,55922.81625
13,6,6,742574,635248,107326,52937.33333,8943.833333,3176.24,67704.27667,2240.06,4641.09,2646.866667,1323.433333,10851.45,56852.82667
13,6,7,755403,644933,110470,53744.41667,9205.833333,3224.665,68862.135,2327.29,4721.27,2687.220833,1343.610417,11079.39125,57782.74375
13,6,8,768233,654618,113615,54551.5,9467.916667,3273.09,70020.08667,2414.52,4801.46,2727.575,1363.7875,11307.3425,58712.74417
13,6,9,781062,664303,116759,55358.58333,9729.916667,3321.515,71177.945,7492.6,4881.64,2767.929167,1383.964583,16526.13375,54651.81125
13,6,10,793892,673988,119904,56165.66667,9992,3369.94,72335.88667,2584.85,4961.83,2808.283333,1404.141667,11759.105,60576.78167
12,7,1,934555,789179,145376,65764.91667,12114.66667,3945.895,85113.72833,3554.58,5840.97,3288.245833,1644.122917,14327.91875,70785.80958
12,7,2,954246,804218,150028,67018.16667,12502.33333,4021.09,86892.5,3683.3,5964.04,3350.908333,1675.454167,14673.7025,72218.7975
12,7,3,973937,819257,154680,68271.41667,12890,4096.285,88671.27167,3812.02,6087.11,3413.570833,1706.785417,15019.48625,73651.78542
12,7,4,993629,834297,159332,69524.75,13277.66667,4171.485,90450.14167,3951.16,6210.18,3476.2375,1738.11875,15375.69625,75074.44542
12,7,5,1013320,849336,163984,70778,13665.33333,4246.68,92228.91333,4085.09,6333.25,3538.9,1769.45,15726.69,76502.22333
12,7,6,1033011,864375,168636,72031.25,14053,4321.875,94007.685,4219.03,6456.32,3601.5625,1800.78125,16077.69375,77929.99125
12,7,7,1052703,879415,173288,73284.58333,14440.66667,4397.075,95786.555,4352.98,6579.39,3664.229167,1832.114583,16428.71375,79357.84125
12,7,8,1072394,894454,177940,74537.83333,14828.33333,4472.27,97565.32667,4486.93,6702.46,3726.891667,1863.445833,16779.7275,80785.59917
12,7,9,1092086,909494,182592,75791.16667,15216,4547.47,99344.19667,4666.93,6825.54,3789.558333,1894.779167,17176.8075,82167.38917
12,7,10,1111777,924533,187244,77044.41667,15603.66667,4622.665,101122.9683,4841.29,6948.61,3852.220833,1926.110417,17568.23125,83554.73708
11,8,1,1629462,1442901,186561,120241.75,15546.75,7214.505,149015.095,9689.03,10184.14,6012.0875,3006.04375,28891.30125,120123.7938
11,8,2,1652897,1460801,192096,121733.4167,16008,7304.005,151132.0917,9906.46,10330.61,6086.670833,3043.335417,29367.07625,121765.0154
11,8,3,1676332,1478700,197632,123225,16469.33333,7393.5,153249.0833,10123.89,10477.08,6161.25,3080.625,29842.845,123406.2383
11,8,4,1699767,1496600,203167,124716.6667,16930.58333,7483,155366.08,10341.32,10623.54,6235.833333,3117.916667,30318.61,125047.47
11,8,5,1723202,1514499,208703,126208.25,17391.91667,7572.495,157483.0717,10558.75,10770.01,6310.4125,3155.20625,30794.37875,126688.6929
11,8,6,1746637,1532399,214238,127699.9167,17853.16667,7661.995,159600.0783,10781.85,10916.48,6384.995833,3192.497917,31275.82375,128324.2546
11,8,7,1770072,1550298,219774,129191.5,18314.5,7751.49,161717.07,11062.02,11062.95,6459.575,3229.7875,31814.3325,129902.7375
11,8,8,1793506,1568197,225309,130683.0833,18775.75,7840.985,163833.9683,11337.38,11209.41,6534.154167,3267.077083,32348.02125,131485.9471
11,8,9,1816942,1586097,230845,132174.75,19237.08333,7930.485,165951.0583,11612.77,11355.89,6608.7375,3304.36875,32881.76625,133069.2921
11,8,10,1840376,1603996,236380,133666.3333,19698.33333,8019.98,168067.9667,11876.77,11502.35,6683.316667,3341.658333,33404.095,134663.8717
10,9,1,1744222,1523991,220231,126999.25,18352.58333,7619.955,159321.7483,10782.61,10901.39,6349.9625,3174.98125,31208.94375,128112.8046
10,9,2,1772125,1545303,226822,128775.25,18901.83333,7726.515,161842.3583,11098.22,11075.78,6438.7625,3219.38125,31832.14375,130010.2146
10,9,3,1800027,1566614,233413,130551.1667,19451.08333,7833.07,164362.88,11413.83,11250.17,6527.558333,3263.779167,32455.3375,131907.5425
10,9,4,1827930,1587926,240004,132327.1667,20000.33333,7939.63,166883.49,11729.44,11424.56,6616.358333,3308.179167,33078.5375,133804.9525
10,9,5,1855833,1609238,246595,134103.1667,20549.58333,8046.19,169404.1,12069.55,11598.96,6705.158333,3352.579167,33726.2475,135677.8525
10,9,6,1883737,1630550,253187,135879.1667,21098.91667,8152.75,171924.7933,12397.42,11773.36,6793.958333,3396.979167,34361.7175,137563.0758
10,9,7,1911640,1651862,259778,137655.1667,21648.16667,8259.31,174445.4033,12725.3,11947.75,6882.758333,3441.379167,34997.1875,139448.2158
10,9,8,1939543,1673174,266369,139431.1667,22197.41667,8365.87,176966.0133,13053.17,12122.14,6971.558333,3485.779167,35632.6475,141333.3658
10,9,9,1967445,1694485,272960,141207.0833,22746.66667,8472.425,179486.525,13381.05,12296.53,7060.354167,3530.177083,36268.11125,143218.4138
10,9,10,1995348,1715797,279551,142983.0833,23295.91667,8578.985,182007.135,13708.93,12470.93,7149.154167,3574.577083,36903.59125,145103.5438
9,10,1,1898669,1641955,256714,136829.5833,21392.83333,8209.775,173273.6717,12574.17,11866.68,6841.479167,3420.739583,34703.06875,138570.6029
9,10,2,1929354,1665391,263963,138782.5833,21996.91667,8326.955,176045.585,12934.72,12058.46,6939.129167,3469.564583,35401.87375,140643.7113
9,10,3,1960038,1688827,271211,140735.5833,22600.91667,8444.135,178817.415,13295.27,12250.24,7036.779167,3518.389583,36100.67875,142716.7363
9,10,4,1990722,1712262,278460,142688.5,23205,8561.31,181589.24,13655.82,12442.01,7134.425,3567.2125,36799.4675,144789.7725
9,10,5,2021406,1735698,285708,144641.5,23809,8678.49,184361.07,14016.38,12633.79,7232.075,3616.0375,37498.2825,146862.7875
9,10,6,2052091,1759134,292957,146594.5,24413.08333,8795.67,187132.9833,14376.94,12825.57,7329.725,3664.8625,38197.0975,148935.8858
9,10,7,2082775,1782570,300205,148547.5,25017.08333,8912.85,189904.8133,14724.35,13017.34,7427.375,3713.6875,38882.7525,151022.0608
9,10,8,2113460,1806006,307454,150500.5,25621.16667,9030.03,192676.7267,15098.1,13209.13,7525.025,3762.5125,39594.7675,153081.9592
9,10,9,2144144,1829442,314702,152453.5,26225.16667,9147.21,195448.5567,15458.68,13400.9,7622.675,3811.3375,40293.5925,155154.9642
9,10,10,2174829,1852878,321951,154406.5,26829.25,9264.39,198220.47,15806.65,13592.68,7720.325,3860.1625,40979.8175,157240.6525
8,11,1,2061224,1773145,288079,147762.0833,24006.58333,8865.725,188022.4917,14494.07,12882.65,7388.104167,3694.052083,38458.87625,149563.6154
8,11,2,2108818,1809496,299322,150791.3333,24943.5,9047.48,192321.8833,15053.23,13180.11,7539.566667,3769.783333,39542.69,152779.1933
8,11,3,2156412,1845847,310565,153820.5833,25880.41667,9229.235,196621.265,15612.39,13477.58,7691.029167,3845.514583,40626.51375,155994.7513
8,11,4,2204006,1882198,321808,156849.8333,26817.33333,9410.99,200920.6467,16171.55,13775.04,7842.491667,3921.245833,41710.3275,159210.3192
8,11,5,2251602,1918550,333052,159879.1667,27754.33333,9592.75,205220.21,16730.75,14072.51,7993.958333,3996.979167,42794.1975,162426.0125
8,11,6,2299196,1954901,344295,162908.4167,28691.25,9774.505,209519.5917,17289.93,14369.98,8145.420833,4072.710417,43878.04125,165641.5504
8,11,7,2346790,1991252,355538,165937.6667,29628.16667,9956.26,213818.9733,17849.14,14667.44,8296.883333,4148.441667,44961.905,168857.0683
8,11,8,2394384,2027603,366781,168966.9167,30565.08333,10138.015,218118.365,18390.6,14964.9,8448.345833,4224.172917,46028.01875,172090.3463
7,12,1,2196470,1876443,320027,156370.25,26668.91667,9382.215,200239.8917,16101.15,13727.94,7818.5125,3909.25625,41556.85875,158683.0329
7,12,2,2246789,1914876,331913,159573,27659.41667,9574.38,204785.4467,16683.81,14042.43,7978.65,3989.325,42694.215,162091.2317
7,12,3,2297108,1953310,343798,162775.8333,28649.83333,9766.55,209331.0067,17266.47,14356.93,8138.791667,4069.395833,43831.5875,165499.4192
7,12,4,2347427,1991743,355684,165978.5833,29640.33333,9958.715,213876.5617,17849.13,14671.42,8298.929167,4149.464583,44968.94375,168907.6179
7,12,5,2397747,2030177,367570,169181.4167,30630.83333,10150.885,218422.205,18448.89,14985.92,8459.070833,4229.535417,46123.41625,172298.7888
7,12,6,2448066,2068610,379456,172384.1667,31621.33333,10343.05,222967.76,19080.82,15300.41,8619.208333,4309.604167,47310.0425,175657.7175
7,12,7,2498385,2107044,391341,175587,32611.75,10535.22,227513.32,19736.48,15614.91,8779.35,4389.675,48520.415,178992.905
7,12,8,2548704,2145477,403227,178789.75,33602.25,10727.385,232058.875,20366.92,15929.4,8939.4875,4469.74375,49705.55125,182353.3238
6,13,1,2337916,1985002,352914,165416.8333,29409.5,9925.01,213022.1833,17646.12,14611.98,8270.841667,4135.420833,44664.3625,168357.8208
6,13,2,2392092,2026381,365711,168865.0833,30475.91667,10131.905,217916.155,18352.49,14950.58,8443.254167,4221.627083,45967.95125,171948.2038
6,13,3,2446267,2067760,378507,172313.3333,31542.25,10338.8,222810.0533,19058.86,15289.17,8615.666667,4307.833333,47271.53,175538.5233
6,13,4,2500443,2109139,391304,175761.5833,32608.66667,10545.695,227704.025,19765.23,15627.77,8788.079167,4394.039583,48575.11875,179128.9063
6,13,5,2554618,2150517,404101,179209.75,33675.08333,10752.585,232597.9083,20468.69,15966.36,8960.4875,4480.24375,49875.78125,182722.1271
6,13,6,2608794,2191896,416898,182658,34741.5,10959.48,237491.88,21148,16304.96,9132.9,4566.45,51152.31,186339.57
6,13,7,2662970,2233275,429695,186106.25,35807.91667,11166.375,242385.8517,21875.72,16643.56,9305.3125,4652.65625,52477.24875,189908.6029
6,13,8,2717146,2274654,442492,189554.5,36874.33333,11373.27,247279.8333,22579.26,16982.16,9477.725,4738.8625,53778.0075,193501.8258
5,14,1,3038506,2569382,469124,214115.1667,39093.66667,12846.91,276761.5033,24622.77,18990.66,10705.75833,5352.879167,59672.0675,217089.4358
5,14,2,3113762,2623656,490106,218638,40842.16667,13118.28,283530.3467,25553.19,19461.01,10931.9,5465.95,61412.05,222118.2967
5,14,3,3189020,2677931,511089,223160.9167,42590.75,13389.655,290299.3717,26483.61,19931.38,11158.04583,5579.022917,63152.05875,227147.3129
5,14,4,3264276,2732205,532071,227683.75,44339.25,13661.025,297068.215,27414.03,20401.73,11384.1875,5692.09375,64892.04125,232176.1738
5,14,5,3339533,2786479,553054,232206.5833,46087.83333,13932.395,303837.1417,28344.5,20872.08,11610.32917,5805.164583,66632.07375,237205.0679
5,14,6,3414789,2840753,574036,236729.4167,47836.33333,14203.765,310605.985,29274.96,21342.43,11836.47083,5918.235417,68372.09625,242233.8888
5,14,7,3490046,2895027,595019,241252.25,49584.91667,14475.135,317374.9117,30180.05,21812.79,12062.6125,6031.30625,70086.75875,247288.1529
4,15,1,3339242,2791133,548109,232594.4167,45675.75,13955.665,303855.5517,28343.88,20870.26,11629.72083,5814.860417,66658.72125,237196.8304
4,15,2,3429688,2856362,573326,238030.1667,47777.16667,14281.81,311990.6533,29462.16,21435.55,11901.50833,5950.754167,68749.9725,243240.6808
4,15,3,3520134,2921591,598543,243465.9167,49878.58333,14607.955,320125.755,30580.44,22000.84,12173.29583,6086.647917,70841.22375,249284.5313
4,15,4,3610581,2986821,623760,248901.75,51980,14934.105,328260.945,31698.72,22566.13,12445.0875,6222.54375,72932.48125,255328.4638
4,15,5,3701027,3052050,648977,254337.5,54081.41667,15260.25,336396.0467,32817,23131.42,12716.875,6358.4375,75023.7325,261372.3142
4,15,6,3791474,3117280,674194,259773.3333,56182.83333,15586.4,344531.2367,33907.19,23696.71,12988.66667,6494.333333,77086.9,267444.3367
3,16,1,6261233,5619993,641240,468332.75,53436.66667,28099.965,573286.0217,66738.4,39132.71,23416.6375,11708.31875,140996.0663,432289.9554
3,16,2,6404840,5734982,669858,477915.1667,55821.5,28674.91,586307.3367,68779.46,40030.25,23895.75833,11947.87917,144653.3475,441653.9892
3,16,3,6555135,5856659,698476,488054.9167,58206.33333,29283.295,599947.295,70820.52,40969.59,24402.74583,12201.37292,148394.2288,451553.0663
3,16,4,6699223,5972129,727094,497677.4167,60591.16667,29860.645,613013.0983,72861.58,41870.14,24883.87083,12441.93542,152057.5263,460955.5721
3,16,5,6847008,6091296,755712,507608,62976,30456.48,626420.88,74902.64,42793.8,25380.4,12690.2,155767.04,470653.84
